"chromosome_name","external_gene_name","entrezgene_id","start_position","end_position","NSNPS","NPARAM","N","ZSTAT","P_MULTI","P_SNPWISE_MEAN","P_SNPWISE_TOP1","q.BH"
6,"BAI3",577,69345259,70099403,2177,89,4338,3.0967,0.00097833,0.064927,0.0003774,0.5878303125
7,"UBN2",254048,138915102,138992982,174,21,4338,3.0935,0.000989,0.0012396,0.0050461,0.5878303125
3,"SLC26A6",65010,48663156,48672926,53,10,4338,3.0886,0.0010056,0.0012092,0.006155,0.5878303125
15,"MRPL46",26589,89002707,89010650,51,20,4338,3.0874,0.0010096,0.0010798,0.0031973,0.5878303125
3,"TMEM89",440955,48658192,48659288,43,9,4338,3.0821,0.0010279,0.0012297,0.0054092,0.5878303125
11,"SLC36A4",120103,92877341,92931130,203,24,4338,3.069,0.001074,0.004201,0.0015742,0.595581818181818
20,"SPINT4",391253,44350990,44354469,169,19,4338,3.0223,0.0012542,0.002169,0.0063163,0.63875511627907
7,"ZDHHC4",55146,6617065,6629005,162,22,4338,3.0171,0.0012761,0.0014674,0.0078657,0.63875511627907
2,"LYPD6",130574,150186499,150330662,397,52,4338,3.013,0.0012934,0.003602,0.0050029,0.63875511627907
8,"SPIDR",23514,48173167,48648868,366,37,4338,2.9891,0.001399,0.0019876,0.014661,0.63875511627907
3,"GCSAM",257144,111839688,111852152,133,21,4338,2.9866,0.0014104,0.0021704,0.0075271,0.63875511627907
7,"ZNF736",728927,63767837,63815238,404,34,4338,2.9841,0.0014219,0.0011262,0.0088342,0.63875511627907
8,"IMPAD1",54928,57870492,57906403,147,28,4338,2.984,0.0014224,0.00088041,0.030406,0.63875511627907
3,"NME9",347736,137980279,138048728,143,26,4338,2.9764,0.0014585,0.0034041,0.010107,0.63875511627907
1,"FASLG",356,172628154,172636014,137,20,4338,2.9713,0.0014829,0.00293,0.003632,0.63875511627907
9,"TMEM8C",389827,136379708,136393734,149,27,4338,2.9676,0.0015009,0.0031002,0.0096958,0.63875511627907
8,"CTSB",1508,11700033,11726957,320,35,4338,2.9595,0.0015405,0.0034008,0.0032112,0.640707954545455
20,"ABHD16B",140701,62492566,62494341,138,24,4338,2.949,0.0015942,0.012465,0.001454,0.644465
2,"BZW1",9689,201675317,201688569,86,15,4338,2.9386,0.0016486,0.0053752,0.0019083,0.644465
20,"WFDC10B",280664,44313292,44333658,247,24,4338,2.9365,0.0016599,0.0022748,0.010693,0.644465
19,"ZNF549",256051,58038693,58068910,214,14,4338,2.9308,0.0016904,0.0024512,0.017987,0.644465
20,"THBD",7056,23026270,23030378,119,18,4338,2.9234,0.001731,0.0053936,0.0024533,0.646475510204082
20,"WFDC13",164237,44330655,44337456,126,19,4338,2.9133,0.0017883,0.0034705,0.0073436,0.647640588235294
5,"FER",2241,108083523,108532542,1714,74,4338,2.9104,0.0018049,0.0033698,0.013248,0.647640588235294
9,"ADAMTSL2",9719,136397286,136440641,159,28,4338,2.895,0.0018958,0.0031311,0.014011,0.65125125
20,"HRH3",11255,60790026,60795323,115,31,4338,2.8859,0.0019518,0.013936,0.0020448,0.65125125
12,"CAPRIN2",65981,30862486,30907885,269,31,4338,2.8848,0.0019586,0.0030885,0.010067,0.65125125
12,"IPO8",10526,30781922,30848920,349,25,4338,2.8808,0.0019832,0.010627,0.0041867,0.65125125
1,"AKR7A2",8574,19630459,19638640,194,29,4338,2.8793,0.0019929,0.0053088,0.0044663,0.65125125
11,"INSC",387755,15133970,15268754,473,66,4338,2.8641,0.0020912,0.00091213,0.033974,0.665867586206897
17,"GPATCH8",23131,42472652,42580798,168,22,4338,2.8612,0.0021104,0.028933,0.001977,0.665867586206897
17,"MYH10",4628,8377523,8534079,287,37,4338,2.8342,0.0022968,0.0022223,0.029768,0.687751105990783
20,"MTG2",26164,60758085,60778624,294,40,4338,2.8311,0.0023194,0.021953,0.001332,0.687751105990783
6,"NMBR",4829,142379467,142409936,49,11,4338,2.8238,0.0023726,0.0039465,0.021209,0.687751105990783
5,"GABRB2",2561,160715436,160976050,750,63,4338,2.8205,0.0023978,0.023688,0.0016675,0.687751105990783
11,"KRTAP5-4",387267,1642188,1643368,333,36,4338,2.8124,0.0024584,0.002452,0.011287,0.687751105990783
17,"ZNF750",79755,80787311,80798454,194,26,4338,2.8002,0.0025539,0.067088,0.00071028,0.687751105990783
16,"TLDC1",57707,84511681,84587639,491,56,4338,2.7991,0.0025624,0.003352,0.015971,0.687751105990783
17,"CSNK1D",1453,80196899,80231607,94,16,4338,2.7968,0.0025803,0.0023706,0.016029,0.687751105990783
3,"EPHB1",2047,134316643,134979309,1461,125,4338,2.7786,0.0027295,0.0083753,0.0084087,0.687751105990783
19,"ZNF653",115950,11594242,11616738,167,18,4338,2.7764,0.002748,0.0052831,0.0069853,0.687751105990783
1,"CAPZB",832,19665267,19812066,657,55,4338,2.7645,0.0028506,0.012928,0.0072661,0.687751105990783
7,"ATP6V0E2",155066,149570057,149577784,132,17,4338,2.7613,0.002879,0.022714,0.002097,0.687751105990783
8,"KCNS2",3788,99439250,99445076,76,17,4338,2.7606,0.0028847,0.004087,0.0062496,0.687751105990783
15,"MESP2",145873,90303822,90321982,169,19,4338,2.7593,0.0028963,0.023494,0.0077905,0.687751105990783
19,"ZNF773",374928,58011283,58029772,289,16,4338,2.7568,0.0029189,0.00391,0.019118,0.687751105990783
3,"NCKIPSD",51517,48701364,48723797,93,15,4338,2.7297,0.0031692,0.004504,0.020741,0.687751105990783
20,"TPD52L2",7165,62496596,62522898,193,34,4338,2.7292,0.0031745,0.019444,0.0025975,0.687751105990783
21,"RUNX1",861,36160098,37376965,503,79,4338,2.7287,0.0031792,0.0020566,0.052188,0.687751105990783
3,"TNFSF10",8743,172223298,172241297,233,32,4338,2.7281,0.0031851,0.022116,0.0029504,0.687751105990783
4,"AADAT",51166,170981373,171012850,217,31,4338,2.7256,0.0032091,0.019701,0.0044467,0.687751105990783
20,"ZBTB46",140685,62375019,62462597,511,40,4338,2.7168,0.003296,0.022315,0.003546,0.687751105990783
19,"ECSIT",51295,11616731,11639989,182,21,4338,2.7153,0.003311,0.006799,0.0058292,0.687751105990783
20,"SS18L1",26039,60718822,60757540,275,30,4338,2.7129,0.0033344,0.030301,0.0018975,0.687751105990783
1,"PQLC2",54896,19638820,19655794,240,34,4338,2.7074,0.0033905,0.009847,0.0054321,0.687751105990783
15,"MESP1",55897,90291892,90294541,163,19,4338,2.7058,0.0034067,0.024428,0.008675,0.687751105990783
7,"NRCAM",4897,107788068,108097161,1178,64,4338,2.7056,0.0034092,0.0022674,0.03426,0.687751105990783
19,"ELAVL3",1995,11562141,11591861,204,24,4338,2.7028,0.0034375,0.0093535,0.0051102,0.687751105990783
19,"ZIM2",23619,57285920,57352097,131,23,4338,2.6905,0.0035668,0.0014157,0.083553,0.687751105990783
19,"ZIM2",5178,57285920,57352097,131,23,4338,2.6905,0.0035668,0.0014157,0.083553,0.687751105990783
19,"PEG3",5178,57321445,57352096,131,23,4338,2.6905,0.0035668,0.0014157,0.083553,0.687751105990783
9,"DIRAS2",54769,93372114,93405386,313,39,4338,2.6851,0.0036253,0.0055509,0.0073926,0.687751105990783
15,"THBS1",7057,39873280,39891667,83,15,4338,2.6811,0.0036693,0.0054891,0.0069468,0.687751105990783
20,"OSBPL2",9885,60813580,60871268,241,36,4338,2.6763,0.0037224,0.040045,0.0027104,0.687751105990783
15,"DET1",55070,89054790,89089906,238,28,4338,2.6743,0.0037442,0.011172,0.0063589,0.687751105990783
1,"GPR52",9293,174417212,174418683,83,16,4338,2.6713,0.0037784,0.0016629,0.032246,0.687751105990783
14,"AKAP6",9472,32798479,33300567,1691,171,4338,2.6646,0.0038545,0.026905,0.0074531,0.687751105990783
15,"RCN2",5955,77223960,77242601,80,19,4338,2.6526,0.0039935,0.017507,0.0055663,0.687751105990783
2,"FOXN2",3344,48541776,48606433,316,34,4338,2.6474,0.0040554,0.013785,0.0066734,0.687751105990783
12,"CCDC38",120935,96260826,96336752,436,46,4338,2.6367,0.0041858,0.018825,0.0035508,0.687751105990783
5,"PJA2",9867,108670410,108745695,382,27,4338,2.6336,0.0042244,0.018571,0.0073527,0.687751105990783
4,"PPA2",27068,106290234,106395238,558,35,4338,2.6262,0.0043167,0.009853,0.0078323,0.687751105990783
11,"SCYL1",57410,65292548,65306175,55,17,4338,2.615,0.0044609,0.0068948,0.011705,0.687751105990783
22,"TST",7263,37406900,37415681,170,26,4338,2.6137,0.0044786,0.018004,0.0044185,0.687751105990783
3,"P2RY13",53829,151044100,151047336,130,18,4338,2.606,0.0045807,0.054912,0.0010064,0.687751105990783
20,"NOP56",10528,2632791,2639039,174,18,4338,2.6053,0.0045897,0.001516,0.072712,0.687751105990783
19,"ZSWIM4",65249,13906274,13943044,66,13,4338,2.6019,0.0046358,0.010317,0.005892,0.687751105990783
1,"C1orf106",55765,200860176,200884863,195,34,4338,2.6013,0.0046436,0.023548,0.0030863,0.687751105990783
2,"SP9",100131390,175199674,175203220,112,25,4338,2.5975,0.0046948,0.0049181,0.014008,0.687751105990783
14,"AK7",122481,96858448,96955764,201,40,4338,2.5959,0.0047166,0.022671,0.0068065,0.687751105990783
11,"KRTAP5-3",387266,1628795,1629693,272,34,4338,2.5872,0.0048382,0.0056435,0.013652,0.687751105990783
11,"HEPHL1",341208,93754527,93846917,316,30,4338,2.586,0.0048553,0.010573,0.019627,0.687751105990783
12,"AMDHD1",144193,96337071,96362370,259,32,4338,2.5805,0.0049326,0.018694,0.0041102,0.687751105990783
6,"IP6K3",117283,33689444,33714762,5,2,4338,2.5801,0.0049381,0.0034293,0.0085049,0.687751105990783
1,"CELSR2",1952,109792641,109818372,169,31,4338,2.5778,0.0049714,0.0035315,0.021313,0.687751105990783
2,"ALPI",248,233320833,233324742,192,27,4338,2.5774,0.004978,0.034267,0.0042645,0.687751105990783
1,"RNF223",401934,1006346,1009687,108,17,4338,2.5764,0.0049917,0.023002,0.0041944,0.687751105990783
3,"HTR1F",3355,88039846,88042919,651,41,4338,2.5763,0.0049937,0.02737,0.0046783,0.687751105990783
10,"HTR7",3363,92500578,92617671,379,31,4338,2.5751,0.0050099,0.012767,0.010517,0.687751105990783
15,"SCAPER",49855,76640526,77197785,1026,47,4338,2.5743,0.0050227,0.003288,0.023309,0.687751105990783
3,"MRAS",22808,138066539,138124375,198,25,4338,2.5723,0.0050513,0.0034359,0.052195,0.687751105990783
7,"ZNF107",51427,64126511,64171404,255,29,4338,2.5713,0.0050661,0.099473,0.0015656,0.687751105990783
12,"BIN2",51411,51674822,51718452,250,24,4338,2.5697,0.0050898,0.073093,0.001998,0.687751105990783
2,"HOXD3",3233,177001340,177037830,96,24,4338,2.5674,0.005123,0.0040252,0.026172,0.687751105990783
2,"HOXD4",3233,177015950,177017954,96,24,4338,2.5674,0.005123,0.0040252,0.026172,0.687751105990783
4,"HNRNPD",3184,83273651,83295656,177,26,4338,2.565,0.0051586,0.0024801,0.035445,0.687751105990783
7,"BAIAP2L1",55971,97920963,98030380,334,25,4338,2.5618,0.0052058,0.41866,0.00053859,0.687751105990783
5,"ZSWIM6",57688,60628100,60841997,302,37,4338,2.5594,0.0052425,0.26673,0.00050718,0.687751105990783
10,"COL17A1",1308,105791044,105845760,129,24,4338,2.558,0.005264,0.015963,0.011124,0.687751105990783
1,"SUCO",51430,172501489,172580971,188,24,4338,2.5535,0.0053317,0.0089135,0.012119,0.687751105990783
15,"PEX11A",8800,90220995,90234014,175,19,4338,2.5523,0.0053514,0.015521,0.0096661,0.687751105990783
1,"GPR25",2848,200842083,200843306,110,20,4338,2.5506,0.0053767,0.062949,0.0015279,0.687751105990783
10,"ADRB1",153,115803806,115806667,175,19,4338,2.5491,0.0054005,0.0022872,0.056015,0.687751105990783
11,"BUD13",84811,116618886,116643704,217,34,4338,2.5438,0.0054823,0.014025,0.01016,0.687751105990783
8,"TMEM64",169200,91634223,91803860,143,17,4338,2.543,0.0054949,0.0049968,0.019588,0.687751105990783
7,"KDELR2",11014,6485584,6523873,222,34,4338,2.5416,0.0055174,0.012414,0.0081533,0.687751105990783
7,"RALA",5898,39663082,39747723,306,38,4338,2.5333,0.0056502,0.0015865,0.13588,0.687751105990783
17,"TBCD",6904,80709940,80900724,847,53,4338,2.5279,0.005737,0.10995,0.0014198,0.687751105990783
7,"GTF2I",2969,74071994,74175026,130,17,4338,2.5255,0.0057763,0.025405,0.0048015,0.687751105990783
19,"IZUMO2",126123,50655805,50666452,116,18,4338,2.5244,0.0057955,0.0062427,0.031009,0.687751105990783
3,"COL7A1",1294,48601506,48632700,68,21,4338,2.5229,0.0058191,0.0079796,0.018076,0.687751105990783
1,"RABGAP1L",9910,174128548,174964445,1687,44,4338,2.5203,0.005863,0.002854,0.088044,0.687751105990783
2,"MTIF2",4528,55463731,55496483,223,35,4338,2.5195,0.0058763,0.0084914,0.012018,0.687751105990783
3,"SLC9C1",285335,111859734,112013105,789,40,4338,2.5182,0.0058972,0.016125,0.012844,0.687751105990783
1,"UAP1",6675,162531323,162569627,139,26,4338,2.5165,0.0059267,0.0029089,0.036367,0.687751105990783
16,"CLEC16A",23274,11038345,11276046,759,57,4338,2.5145,0.0059596,0.025625,0.0056677,0.687751105990783
11,"CCDC87",55231,66357640,66360554,40,13,4338,2.5141,0.0059661,0.004254,0.025854,0.687751105990783
4,"PRDM8",56978,81105033,81125483,194,23,4338,2.5127,0.0059903,0.012825,0.0088155,0.687751105990783
9,"FRRS1L",23732,111892573,111929571,244,31,4338,2.5122,0.0059989,0.015508,0.0062604,0.687751105990783
6,"HIST1H2AG",8969,27100832,27103070,87,21,4338,2.5075,0.0060791,0.23273,0.00092127,0.687751105990783
6,"HIST1H2AM",8969,27860477,27860963,87,21,4338,2.5075,0.0060791,0.23273,0.00092127,0.687751105990783
6,"HIST1H2AL",8969,27833034,27833606,87,21,4338,2.5075,0.0060791,0.23273,0.00092127,0.687751105990783
6,"HIST1H2AI",8969,27775899,27776429,87,21,4338,2.5075,0.0060791,0.23273,0.00092127,0.687751105990783
6,"HIST1H2AK",8969,27805658,27806117,87,21,4338,2.5075,0.0060791,0.23273,0.00092127,0.687751105990783
2,"CLHC1",130162,55401927,55459699,280,35,4338,2.5068,0.0060913,0.0058683,0.016459,0.687751105990783
3,"GRK7",131890,141496990,141537332,219,25,4338,2.5062,0.0061017,0.021569,0.007348,0.687751105990783
20,"STX16",8675,57226328,57254582,135,29,4338,2.5037,0.0061455,0.02637,0.0063648,0.687751105990783
12,"CELA1",1990,51722227,51740463,127,22,4338,2.5034,0.0061502,0.03616,0.0044497,0.687751105990783
2,"ATP5G3",518,176040986,176049335,127,19,4338,2.503,0.0061567,0.0045961,0.032796,0.687751105990783
9,"PPP3R2",5535,104353897,104357283,167,25,4338,2.5006,0.0061998,0.0037483,0.024557,0.687751105990783
15,"CHRNA7",1139,32322691,32464722,294,41,4338,2.5,0.0062094,0.0051,0.028388,0.687751105990783
1,"COA7",65260,53152508,53164038,152,19,4338,2.4993,0.0062222,0.015974,0.010099,0.687751105990783
18,"IMPA2",3613,11981024,12030876,444,46,4338,2.4981,0.0062434,0.0052791,0.022499,0.687751105990783
1,"MAN1C1",57134,25943959,26112698,234,30,4338,2.4946,0.0063047,0.033057,0.0049102,0.687751105990783
17,"ETV4",2118,41605212,41656988,120,16,4338,2.4946,0.0063052,0.0066159,0.028679,0.687751105990783
9,"C9orf152",401546,112952328,112970469,218,31,4338,2.4872,0.0064384,0.0052417,0.031015,0.687751105990783
11,"KDM4E",390245,94758422,94760760,90,14,4338,2.4851,0.0064762,0.0070426,0.020535,0.687751105990783
12,"GALNT6",11226,51745031,51786651,175,35,4338,2.4828,0.0065184,0.083562,0.0028625,0.687751105990783
1,"CA14",23632,150229554,150237478,33,7,4338,2.4813,0.0065453,0.020917,0.0057436,0.687751105990783
1,"NES",10763,156638555,156647189,97,19,4338,2.4806,0.0065578,0.050343,0.0041513,0.687751105990783
14,"INF2",64423,105155943,105185942,275,42,4338,2.4803,0.0065636,0.039464,0.0048688,0.687751105990783
11,"ATP5L",10632,118271869,118302211,85,17,4338,2.4761,0.0066422,0.50244,0.00046301,0.687751105990783
4,"ANKRD50",57182,125585207,125633887,223,35,4338,2.4758,0.0066472,0.0053385,0.027905,0.687751105990783
2,"PRKCE",5581,45878484,46415129,1976,210,4338,2.4742,0.0066767,0.094108,0.0049308,0.687751105990783
9,"RNF224",643596,140122018,140124090,43,14,4338,2.4731,0.0066969,0.0042554,0.027349,0.687751105990783
4,"ARHGEF38",54848,106473777,106629250,435,51,4338,2.4731,0.0066982,0.0049435,0.041216,0.687751105990783
14,"ERO1L",30001,53106634,53162618,173,27,4338,2.4729,0.0067014,0.0087851,0.022145,0.687751105990783
7,"GRID2IP",392862,6537093,6591067,260,41,4338,2.4716,0.0067264,0.0046567,0.030777,0.687751105990783
6,"FRK",2444,116252312,116381921,421,42,4338,2.468,0.0067937,0.0019547,0.11498,0.687751105990783
11,"DLG2",1740,83166055,85338966,5603,246,4338,2.4674,0.0068041,0.10628,0.0079241,0.687751105990783
12,"SMAGP",57228,51638342,51664674,174,22,4338,2.467,0.0068117,0.10965,0.002237,0.687751105990783
11,"RBM14-RBM4",100526737,66384097,66413940,71,16,4338,2.4644,0.0068621,0.0060085,0.033127,0.687751105990783
11,"RBM4",100526737,66384097,66434153,71,16,4338,2.4644,0.0068621,0.0060085,0.033127,0.687751105990783
8,"ELP3",55140,27947190,28048673,323,40,4338,2.4576,0.0069933,0.026368,0.011443,0.687751105990783
3,"ZNF860",344787,32023263,32033120,176,21,4338,2.4572,0.0070009,0.0081335,0.015603,0.687751105990783
19,"C19orf53",28974,13884982,13889276,60,7,4338,2.4542,0.0070595,0.047678,0.0046426,0.687751105990783
13,"C1QTNF9",387911,24881304,24896673,130,17,4338,2.4533,0.007078,0.014031,0.0084218,0.687751105990783
13,"C1QTNF9B",387911,24465238,24476794,130,17,4338,2.4533,0.007078,0.014031,0.0084218,0.687751105990783
7,"ASNS",440,97481430,97501854,143,22,4338,2.4519,0.0071049,0.0079272,0.020138,0.687751105990783
2,"MYT1L",23040,1792885,2335032,1614,111,4338,2.4508,0.0071272,0.028156,0.011376,0.687751105990783
1,"LHX4",89884,180199421,180249380,314,53,4338,2.4491,0.00716,0.025404,0.01052,0.687751105990783
11,"TRIM64B",642446,89602450,89609185,2,2,4338,2.4463,0.0072169,0.008511,0.006752,0.687751105990783
20,"PLCB4",5332,9049410,9461889,917,87,4338,2.4456,0.0072301,0.10069,0.0031361,0.687751105990783
18,"CTAGE1",64693,19993564,19997878,80,12,4338,2.4448,0.0072467,0.026928,0.0092618,0.687751105990783
11,"UBE4A",9354,118230300,118269926,145,24,4338,2.4443,0.0072576,0.49435,0.00057385,0.687751105990783
2,"ROCK2",9475,11319887,11488456,543,36,4338,2.4418,0.0073076,0.11149,0.0022256,0.687751105990783
1,"EFCAB14",9813,47124366,47184824,191,19,4338,2.4414,0.007315,0.068386,0.0029681,0.687751105990783
19,"EPHX3",79852,15337730,15344246,33,13,4338,2.4406,0.007331,0.053405,0.002937,0.687751105990783
8,"RDH10",157506,74206847,74237516,209,34,4338,2.438,0.007384,0.017771,0.014105,0.687751105990783
1,"FCRL2",79368,157715523,157746922,116,25,4338,2.4375,0.007394,0.28246,0.00084953,0.687751105990783
18,"SLC14A1",6563,43304092,43332485,289,30,4338,2.4371,0.0074018,0.0073958,0.039163,0.687751105990783
8,"SGCZ",137868,13947373,15095848,6392,230,4338,2.4336,0.0074751,0.021515,0.043581,0.687751105990783
3,"IP6K2",51447,48725436,48777786,107,20,4338,2.4334,0.0074785,0.0092482,0.026992,0.687751105990783
18,"MALT1",10892,56338618,56417371,292,35,4338,2.4326,0.0074959,0.052563,0.0036554,0.687751105990783
7,"PMPCB",9512,102937869,102969958,96,15,4338,2.43,0.0075497,0.39532,0.00041529,0.687751105990783
11,"CTSF",8722,66330934,66336312,83,14,4338,2.4229,0.0076992,0.0057357,0.027898,0.687751105990783
5,"MAP3K1",4214,56111401,56191979,298,27,4338,2.4224,0.0077095,0.012654,0.024586,0.687751105990783
11,"LTBP3",4054,65306276,65326401,88,23,4338,2.4224,0.0077097,0.015929,0.014518,0.687751105990783
11,"RBM14",10432,66384053,66394818,51,15,4338,2.4212,0.0077349,0.0057754,0.032315,0.687751105990783
1,"SCCPDH",51097,246887349,246931439,297,30,4338,2.4186,0.0077902,0.0062809,0.03701,0.687751105990783
13,"SLC10A2",6555,103696350,103719196,281,36,4338,2.4177,0.0078095,0.023069,0.0085049,0.687751105990783
6,"FAM229B",619208,112408802,112423993,134,13,4338,2.417,0.0078253,0.015396,0.027635,0.687751105990783
7,"DAGLB",221955,6448757,6523821,350,42,4338,2.4158,0.0078512,0.019566,0.012655,0.687751105990783
8,"RPL7",6129,74202506,74208024,124,21,4338,2.4152,0.0078631,0.020378,0.01261,0.687751105990783
1,"ANP32E",81611,150190717,150208504,47,8,4338,2.4138,0.0078933,0.027293,0.0069325,0.687751105990783
8,"MROH5",389690,142443929,142517330,523,53,4338,2.4127,0.0079183,0.045003,0.0058102,0.687751105990783
9,"TMEM203",94107,140098534,140100090,46,14,4338,2.4126,0.0079187,0.004992,0.030211,0.687751105990783
6,"HIST1H4E",8294,26204858,26206266,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4C",8294,26104104,26104518,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4A",8294,26021907,26022278,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4L",8294,27840926,27841289,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4J",8294,27791884,27792257,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4K",8294,27798952,27799305,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4H",8294,26281283,26285762,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4D",8294,26188938,26189304,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4F",8294,26240561,26240976,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4I",8294,27107076,27108418,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
6,"HIST1H4B",8294,26027124,26027480,83,22,4338,2.4115,0.0079445,0.27701,0.0011338,0.687751105990783
22,"MORC2",22880,31321117,31364284,103,17,4338,2.4112,0.00795,0.013104,0.019193,0.687751105990783
2,"MTX2",10651,177134123,177202753,196,29,4338,2.4095,0.0079868,0.0037137,0.066154,0.687751105990783
7,"C7orf33",202865,148287657,148312952,170,37,4338,2.4095,0.0079871,0.017236,0.012916,0.687751105990783
12,"CACNA1C",775,2079952,2802108,1956,179,4338,2.4088,0.0080014,0.0036981,0.15995,0.687751105990783
12,"IAPP",3375,21507893,21532912,198,30,4338,2.4069,0.0080443,0.020525,0.0082429,0.687751105990783
12,"NTN4",59277,96051583,96184930,615,63,4338,2.4045,0.0080965,0.046414,0.0067079,0.687751105990783
2,"FKBP7",51661,179328391,179343327,96,21,4338,2.4028,0.0081351,0.0065617,0.029983,0.687751105990783
13,"DLEU7",220107,51285144,51418075,440,54,4338,2.402,0.0081518,0.028297,0.010932,0.687751105990783
21,"B3GALT5",10317,40928369,41045064,605,57,4338,2.4019,0.0081553,0.13245,0.0020123,0.687751105990783
20,"SOX12",6666,306207,310865,148,29,4338,2.3976,0.0082523,0.046642,0.0054423,0.687769830508475
12,"CLEC2A",387836,10051272,10084980,277,46,4338,2.3969,0.0082666,0.017235,0.015594,0.687769830508475
19,"ZNF772",400720,57978031,57988938,218,15,4338,2.3956,0.0082974,0.0087157,0.03539,0.687769830508475
19,"CNN1",1264,11649532,11661138,143,19,4338,2.3942,0.0083288,0.011444,0.016944,0.687769830508475
8,"MAFA",389692,144501352,144512576,89,25,4338,2.3913,0.0083943,0.032033,0.0084436,0.687769830508475
2,"SOWAHC",65124,110371911,110376563,129,20,4338,2.391,0.0084001,0.012542,0.012565,0.687769830508475
16,"CDH8",1006,61681146,62070939,936,80,4338,2.3896,0.0084332,0.016243,0.017718,0.687769830508475
11,"RBM4",5936,66384097,66434153,76,17,4338,2.3885,0.0084585,0.0090496,0.032907,0.687769830508475
1,"CRABP2",1382,156669398,156675608,91,25,4338,2.3864,0.0085081,0.036257,0.0052539,0.687769830508475
12,"RASSF3",283349,65004293,65091347,305,35,4338,2.3853,0.0085322,0.017659,0.017929,0.687769830508475
