GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
54587        1    1278071    1332183    157      13  4338      0.10901       0.4566         0.70633         0.27595
54998        1    1299110    1345818    134      13  4338     0.060414      0.47591         0.80284         0.26163
81669        1    1311091    1369718    139      16  4338     -0.82554      0.79547         0.70428          0.8287
643965       1    1326508    1373167    105      15  4338     -0.76445       0.7777         0.69239         0.80797
55052        1    1327276    1377693    117      16  4338      0.27561      0.39142         0.50511         0.28705
64856        1    1335903    1388262    114      16  4338      0.87578      0.19058          0.3484          0.1112
219293       1    1343152    1415538    106      17  4338       1.0403       0.1491         0.20331         0.12351
441869       1    1343800    1391824     96      15  4338      0.96495      0.16729         0.27752         0.11096
83858        1    1372139    1454852     46      11  4338       1.6751     0.046961         0.04225        0.072305
55210        1    1412523    1480067     48       7  4338      0.82815      0.20379         0.26466         0.16278
339453       1    1460158    1510740     70      11  4338       1.0683       0.1427         0.13801         0.16756
29101        1    1467053    1545262     96      12  4338      0.84218      0.19984         0.24335         0.17746
142678       1    1515795    1575990     18       9  4338      0.45238       0.3255         0.44096         0.23215
643988       1    1523388    1570476     10       6  4338      0.32599      0.37222          0.5855         0.22918
8510         1    1532060    1580030     10       6  4338      0.33699      0.36806         0.59481         0.22181
984          1    1561100    1625473      4       3  4338     -0.89617      0.81492         0.83161         0.77599
728661       1    1581486    1659243      8       3  4338     -0.97027      0.83405         0.73111         0.86747
728642       1    1623822    1690999     38       7  4338     -0.30886      0.62128         0.46006         0.75682
9906         1    1646277    1712438     73      11  4338     -0.22342       0.5884         0.44817         0.70223
65220        1    1672671    1746508     89      13  4338     -0.31403      0.62325         0.45271         0.75052
2782         1    1706725    1857552    190      18  4338     -0.83585      0.79838         0.64265         0.87788
163688       1    1811266    1858733     84      10  4338     -0.82226      0.79454         0.69688         0.84335
339456       1    1839029    1885740    107      11  4338      -1.1437      0.87362         0.76402         0.94094
85452        1    1843390    1970276    269      31  4338     -0.70858      0.76071         0.62191         0.80364
2563         1    1915768    1972192    101      17  4338     -0.86457      0.80636          0.6895         0.83155
5590         1    1946909    2126834    363      41  4338     -0.92425      0.82232         0.64917         0.89062
100506504    1    2103250    2150812     56      17  4338     0.024447      0.49025         0.35452         0.61005
199990       1    2105899    2179159     97      23  4338      0.23205      0.40825         0.33211         0.45677
6497         1    2125134    2251652    240      43  4338     -0.63716      0.73799         0.51419         0.88511
79906        1    2241719    2358190    320      65  4338     -0.62634      0.73445         0.66704         0.69485
11079        1    2288214    2346883    147      34  4338     -0.26889      0.60599         0.66084         0.47937
5192         1    2326241    2379010    149      41  4338     -0.80234      0.78882         0.75395         0.71778
9651         1    2372754    2446964    210      36  4338      -1.6832      0.95383         0.97993         0.88119
55229        1    2429975    2493061    185      25  4338      -1.3237       0.9072         0.92709         0.82227
388585       1    2450184    2496684    118      20  4338      -1.3312      0.90844         0.85774         0.86477
8764         1    2452291    2505268    138      22  4338      -1.4884      0.93167         0.88784          0.8874
127281       1    2482899    2532908    145      16  4338      -1.2482      0.89403         0.88827         0.81224
79258        1    2512078    2599499    210      19  4338      -1.1811      0.88122         0.86423         0.79309
100287898    1    2562807    2741230    218      25  4338     -0.29178      0.61477         0.45377         0.70437
140625       1    2903046    2949467    206      14  4338      -1.1508      0.87509         0.74506         0.83957
63976        1    2950565    3365185   1198     146  4338     -0.65195      0.74278         0.98581         0.42891
27237        1    3336147    3407677    179      26  4338    -0.006485      0.50259         0.50672         0.43597
1953         1    3394506    3563059    388      67  4338      -2.6267      0.99569         0.99123          0.9744
127262       1    3506556    3556695     86      23  4338      -1.5708      0.94189         0.84713         0.95644
7161         1    3534129    3662765    260      51  4338       1.0266      0.15231          0.1191         0.23287
49856        1    3537331    3601671    115      29  4338     0.068225       0.4728         0.39863         0.49741
148870       1    3633965    3698209    116      20  4338       1.9527     0.025426        0.018198        0.079308
388588       1    3654352    3702546     79      14  4338       2.0112     0.022152        0.012933        0.095749
57470        1    3686784    3748068    159      19  4338      0.17907      0.42894         0.35816         0.46696
9731         1    3718645    3808797    347      35  4338        1.775     0.037949        0.065088        0.048597
1677         1    3738845    3811993    274      32  4338       2.0316     0.021096        0.030051        0.041312
339448       1    3795697    3851857    133      19  4338      0.58513      0.27923         0.15316         0.50355
55966        1    4680105    4853851    738     100  4338       1.9981     0.022854        0.023341         0.05483
261734       1    5912870    6087618    506      45  4338     -0.28215      0.61109         0.45524         0.65489
8514         1    6017358    6171253    431      63  4338     -0.80809      0.79048         0.58605         0.86556
26038        1    6151847    6275194    318      45  4338     -0.85947      0.80496          0.6672         0.84045
388591       1    6231189    6291359    116      18  4338      0.38305      0.35084         0.20497          0.5645
6146         1    6235080    6294679    111      19  4338      0.43521      0.33171         0.18655         0.55993
390992       1    6269252    6315638     95      17  4338      0.47152      0.31864         0.16184         0.60167
23463        1    6271253    6331044    147      22  4338      0.13076      0.44798         0.22982         0.77581
387509       1    6297406    6356035    154      24  4338      0.30792      0.37907         0.23471         0.56297
11332        1    6314332    6488826    590      40  4338    -0.064722       0.5258         0.57189         0.42698
83715        1    6449836    6531004    248      24  4338      0.12197      0.45146         0.73072         0.25483
54626        1    6465292    6519724    159      17  4338      0.38352      0.35067         0.64483         0.18207
8718         1    6510787    6562432    106      20  4338      -1.0886      0.86184         0.88111         0.76681
57449        1    6516152    6615121    269      28  4338      -1.7259      0.95782         0.93404         0.89094
79707        1    6571407    6649658    198      16  4338    -0.098994      0.53943          0.6866         0.34974
80835        1    6579987    6649817    173      15  4338     0.049704      0.48018         0.63082         0.30708
3104         1    6605051    6659340    125      19  4338     -0.10857      0.54323         0.69421         0.35036
148479       1    6638756    6694093     97      19  4338     0.021767      0.49132         0.73406         0.28513
9903         1    6640784    6697958    108      19  4338      0.03824      0.48475         0.76257         0.26863
90326        1    6649925    6705646    112      19  4338    -0.023122      0.50922         0.79582          0.2819
55735        1    6684228    6796966    172      27  4338       0.1135      0.45482         0.59254         0.30331
23261        1    6810384    7839766   2483     207  4338      -1.7361      0.95872         0.80218         0.91906
9341         1    7796329    7851492    146      28  4338       1.0435      0.14837         0.13723          0.1893
8863         1    7809413    7915241    341      38  4338       1.0713      0.14202         0.17506           0.139
10911        1    7897672    7948551    221      29  4338       1.4136     0.078742        0.068264         0.11849
3604         1    7965931    8038225    141      25  4338      0.32113      0.37406         0.23516         0.55267
11315        1    7986714    8055342    126      23  4338      0.22158      0.41232         0.22758         0.66551
54206        1    8061779    8121393     76      15  4338    -0.073188      0.52917          0.3602         0.65528
50651        1    8343171    8414227    152      28  4338    -0.044748      0.51785         0.35313         0.67674
473          1    8402464    8912699    754      49  4338      0.90085      0.18383         0.56169        0.067833
2023         1    8911059    8974151    107      20  4338      0.73897      0.22996         0.22631           0.243
765          1    8970893    9045151    212      45  4338      -1.6895      0.95444         0.88785          0.9371
155184       1    9053359    9121404    128      31  4338       1.0163      0.15474         0.16738         0.16762
6518         1    9087005    9166763    227      30  4338       1.5698     0.058227         0.03059         0.18134
80045        1    9153472    9224229    163      26  4338       1.7987     0.036031        0.034749        0.067462
9563         1    9259822    9341396    283      40  4338       1.0213      0.15355        0.084514         0.33519
80176        1    9300202    9439591    451      76  4338       0.9168      0.17962        0.068575         0.53869
84275        1    9564528    9652831    111      20  4338     -0.91474      0.81984         0.83167         0.64248
199953       1    9613932    9684935     85      14  4338      -0.8911      0.81356          0.7383          0.7528
5293         1    9676789    9799172    195      37  4338      -2.0146      0.97803         0.92236         0.98447
22883        1    9779079    9919550    197      27  4338      -3.7519      0.99991          0.9999         0.99636
56998        1    9898334   10005316    126      22  4338      -2.4248      0.99234         0.97538         0.97433
64802        1    9968486   10055556    127      18  4338      -2.6061      0.99542         0.98486         0.98958
84328        1    9972168   10038460     96      15  4338      -2.0973      0.98202         0.96427         0.96463
116362       1   10022255   10086078    111      15  4338      -3.1027      0.99904         0.99623         0.99433
10277        1   10058041   10251297    351      28  4338      -2.1158      0.98282         0.95109         0.96511
23095        1   10235606   10451664    637      31  4338      -1.0242      0.84713         0.70735         0.82999
5226         1   10423884   10490565    176      20  4338    -0.007624      0.50304         0.42237         0.51605
378708       1   10454944   10520239    151      20  4338     -0.25939      0.60233          0.5618         0.53704
100526739    1   10455159   10522060    149      21  4338     -0.30732       0.6207         0.57655         0.55269
1325         1   10474776   10522060    105      16  4338     -0.37746      0.64708         0.70099         0.48289
5195         1   10500003   10700815    400      40  4338     -0.38559       0.6501         0.43187         0.78858
1676         1   10510588   10567613    110      14  4338    -0.062355      0.52486          0.4989         0.47902
54897        1   10686661   10891733    472      86  4338     -0.10031      0.53995         0.47263         0.53057
148345       1   10996530   11077094    207      31  4338      -0.4355       0.6684         0.59551         0.63096
23435        1   11037462   11095549    123      19  4338     -0.18586      0.57372         0.53147         0.54848
10747        1   11076580   11142296    115      10  4338     -0.09182      0.53658         0.72345         0.35418
6723         1   11104649   11155091     80       5  4338      -1.1096      0.86641         0.94894         0.70288
5394         1   11116675   11194961    129       6  4338      -1.2853      0.90065         0.89017         0.77597
2475         1   11156588   11357614    328      14  4338      -1.9699      0.97558         0.90025         0.97755
10218        1   11214346   11266038     77       5  4338     -0.84144      0.79995         0.79928         0.67778
29914        1   11298255   11358491     93       9  4338      -1.3297      0.90819         0.88854         0.87062
57540        1   11504295   11607640    287      28  4338      -1.9627      0.97516         0.99113          0.9158
93611        1   11679432   11733384    119      26  4338      -1.5506       0.9395         0.96685         0.85343
26270        1   11689150   11744411    120      31  4338      -1.4723      0.92953         0.90872         0.88771
26232        1   11697924   11749888    103      28  4338     -0.22872      0.59046         0.70178         0.44795
374946       1   11716781   11790336    113      27  4338     0.016095      0.49358         0.54389         0.40798
10459        1   11724537   11786678     96      24  4338     0.081576      0.46749         0.50553         0.39524
57085        1   11761142   11820828     52      17  4338    -0.078026       0.5311         0.58825         0.41964
284498       1   11788827   11859642    210      24  4338     -0.77144      0.77978         0.91216         0.57579
1185         1   11831153   11913201    405      26  4338      -1.1335       0.8715         0.93689         0.72076
4524         1   11835787   11901160    330      22  4338     -0.44027      0.67013          0.9195         0.42159
4878         1   11895766   11942840    195      28  4338      0.15212      0.43955         0.48043         0.36057
4879         1   11907521   11953992    182      25  4338       0.3906      0.34805         0.36286         0.31007
5351         1   11959724   12045599    264      28  4338      0.19073      0.42437         0.48157         0.33433
90231        1   11969645   12021485    168      22  4338      0.36566      0.35731         0.48335         0.24577
9927         1   12005238   12083572    188      21  4338      0.29683       0.3833          0.5146         0.26365
60672        1   12044299   12102106    104      17  4338      0.84926      0.19787         0.19262         0.22213
943          1   12088434   12214264    242      47  4338      0.26353      0.39607         0.37553         0.37737
7133         1   12192044   12279279    196      31  4338     -0.34484      0.63489         0.51085         0.61909
55187        1   12255101   12582099    425      41  4338      0.43106      0.33321         0.14253         0.72816
9249         1   12617939   12712820    339      52  4338      -0.3283      0.62866         0.59883         0.54444
343066       1   12669566   12737097    189      28  4338     0.012044       0.4952         0.53605         0.39612
126767       1   12741118   12798726    106      19  4338     -0.18012      0.57147         0.38097         0.74674
93190        1   12771163   12831102    117      17  4338       0.4833      0.31444         0.45569         0.21047
390999       1   12799984   12848049     81      10  4338      0.82807      0.20382         0.29799         0.14343
65121        1   12816546   12866777     68      10  4338      0.93154      0.17579         0.22554         0.14501
440560       1   12874468   12926264    109       4  4338     -0.17587       0.5698         0.63105         0.48709
65122        1   12881941   12931764    108       4  4338     -0.17529      0.56957         0.63316         0.48491
343069       1   12897261   12943578     99       4  4338      -0.6628      0.74627         0.69519         0.73644
400735       1   12929033   12981025      1       1  4338     -0.30307      0.61908         0.61778         0.61778
441873       1   13105447   13155000      6       1  4338      0.48491      0.31387         0.31364         0.31364
440563       1   13172960   13219326     15       3  4338     -0.31616      0.62406          0.8041         0.44732
126755       1   13791445   13875242    262      47  4338       1.2602      0.10379         0.15884        0.093476
10630        1   13875252   13954452    187      40  4338     0.041515      0.48344         0.34149          0.6294
7799         1   13991714   14161574    562      43  4338      -1.4446      0.92572         0.80354         0.89838
23254        1   14184646   15454544   4132     379  4338      -1.0038      0.84225         0.94161         0.52444
55092        1   15444028   15556974    575      48  4338       1.3742     0.084688         0.84062        0.011031
727684       1   15480692   15533120    260      29  4338       1.4437     0.074409         0.80159       0.0097004
114827       1   15538730   15734767    607      75  4338      0.50227      0.30774         0.59445         0.15244
79180        1   15701391   15766839    186      33  4338      0.85012      0.19763         0.65547        0.065856
11330        1   15729938   15783153    122      30  4338      0.02386      0.49048         0.34514         0.61286
63036        1   15748223   15808586    132      27  4338       1.5231     0.063869         0.05062         0.14755
51032        1   15767596   15827895    168      27  4338       1.2295      0.10944         0.10329         0.17011
842          1   15807896   15886407    237      20  4338     0.046134       0.4816         0.31888         0.61116
23341        1   15818343   15908228    252      19  4338      0.68378      0.24706         0.24861         0.25403
79814        1   15888194   15946605    203      18  4338       1.8058     0.035472        0.036392        0.094644
84301        1   15908953   16005539    276      20  4338       2.0032      0.02258        0.022059        0.084633
6248         1   15951364   15998217     95      13  4338        2.169      0.01504        0.018579        0.050971
23207        1   15975632   16071264    230      25  4338       1.7764     0.037837        0.023554         0.16473
284723       1   16027721   16077884    132      21  4338       1.6694     0.047521        0.024063         0.18028
388595       1   16033987   16084292    131      21  4338       1.5835     0.056659        0.028409         0.18701
54751        1   16048107   16123089    157      30  4338      0.47425      0.31766         0.27798         0.34742
440567       1   16123657   16169194    178      21  4338      0.23901      0.40555         0.41923         0.35379
23013        1   16139359   16276951    321      30  4338      0.77315      0.21972         0.16475         0.30472
7709         1   16258364   16337627    241      23  4338      0.52149      0.30101         0.37153         0.23895
101928566    1   16267626   16333701    214      21  4338      0.57973      0.28105         0.36401         0.21457
149563       1   16295731   16343184    212      20  4338     -0.25593        0.601         0.73914         0.44502
1187         1   16313486   16370548    324      28  4338      0.23233      0.40814         0.77057         0.20068
27129        1   16330523   16381084    283      27  4338      0.42886      0.33401         0.53152         0.20102
1188         1   16335231   16393821    310      32  4338      0.38002      0.35197         0.49945          0.2345
348487       1   16374264   16435127    241      27  4338      0.72903      0.23299         0.12276         0.45367
1969         1   16440832   16517582    169      26  4338     -0.43832      0.66942         0.60859         0.61604
128272       1   16514599   16574104    162      19  4338      -2.0178      0.97819         0.98704         0.91337
101927546    1   16541343   16588528    101      15  4338      -1.5459      0.93894         0.94606         0.82891
79363        1   16548182   16598659    107      15  4338      -1.4482      0.92621         0.89148         0.84273
54455        1   16563339   16713965    306      25  4338     -0.89831      0.81549         0.79176         0.68921
26099        1   16658525   16734643    170      19  4338      -1.7749      0.96204          0.9184         0.92819
374955       1   16712101   16798919    207      28  4338     0.058218      0.47679         0.40847         0.49032
55707        1   16732167   16796585    153      24  4338      0.34862      0.36369         0.27213         0.45147
100133301    1   16830561   16876198     14       8  4338      0.36855      0.35623         0.42785         0.28402
11223        1   17071129   17125975      1       1  4338       -0.778      0.78172         0.78021         0.78021
9696         1   17213445   17309474    113      20  4338     -0.33255      0.63026          0.5127         0.66419
4237         1   17290997   17343081    113      21  4338      -1.4879      0.93161         0.82745         0.95701
23400        1   17302453   17373467    166      22  4338      -1.0963      0.86352         0.76931         0.84091
6390         1   17335217   17415665    292      23  4338     -0.52058      0.69867         0.77699         0.52022
11240        1   17383256   17480948    329      34  4338      -2.0111      0.97784         0.89731         0.96559
29943        1   17496621   17582501    280      42  4338      -1.4194      0.92211          0.9151         0.76237
51702        1   17540593   17620728    288      44  4338      -1.0415      0.85118         0.76187         0.81676
23569        1   17599690   17700495    480      45  4338     -0.60222      0.72649          0.6959         0.63425
353238       1   17663741   17738195    347      40  4338      0.41309      0.33977         0.19549         0.55276
55920        1   17723251   17801250    240      24  4338      0.94846      0.17145         0.14868         0.22569
55160        1   17811693   18034370    457      58  4338       1.6951     0.045033        0.011221         0.36179
81569        1   18046808   18163558    264      34  4338      0.49572      0.31005         0.20982         0.43903
84966        1   18399240   18714977    959     128  4338      0.72659      0.23374         0.48632         0.11845
127707       1   18772424   18822540    196      32  4338       1.2181      0.11159        0.068575         0.21598
5081         1   18922500   19085360    381      58  4338      0.20304      0.41955         0.36303         0.42549
80834        1   19156093   19221155    308      46  4338     0.031144      0.48758         0.27414         0.74518
8659         1   19187924   19264293    283      43  4338      0.42295      0.33616         0.31925         0.33331
126917       1   19220774   19317826    331      36  4338       1.0023       0.1581         0.10022         0.29201
23352        1   19391000   19571812    373      32  4338       1.9443     0.025927        0.019377        0.082856
23065        1   19532158   19613053    318      26  4338       1.6206     0.052547        0.057239        0.078949
51154        1   19543075   19596622    197      23  4338       1.9985     0.022834        0.023276        0.047223
22977        1   19599057   19650280    196      27  4338       2.3229     0.010091        0.065516       0.0050032
54896        1   19603740   19668925    240      34  4338       2.7074    0.0033905        0.009847       0.0054321
8574         1   19619202   19673640    194      29  4338       2.8793    0.0019929       0.0053088       0.0044663
832          1   19655267   19847066    657      55  4338       2.7645    0.0028506        0.012928       0.0072661
440574       1   19888471   19966315    213      23  4338     -0.35102      0.63721         0.43701         0.76311
100532736    1   19888471   19994949    292      35  4338      0.10939      0.45645         0.36842         0.49132
4681         1   19934723   19994949    154      30  4338      0.30571      0.37991         0.36282         0.36822
3362         1   19956780   20016055    175      28  4338      0.58132      0.28051         0.20335         0.38207
255104       1   19998706   20161424    533      75  4338       1.8564     0.031696        0.023979         0.11086
54546        1   20130522   20176771    191      40  4338        2.283     0.011215       0.0073712        0.051098
23252        1   20173356   20249438    247      34  4338     -0.22581      0.58933         0.40556         0.73728
30814        1   20236800   20285110    158      30  4338     -0.51174      0.69558         0.69265         0.60579
5320         1   20291924   20341932    177      33  4338      -1.4641      0.92842         0.80987         0.97321
5322         1   20351157   20428394    253      31  4338    0.0092394      0.49631         0.59829         0.36118
26279        1   20429143   20481059     97      36  4338     -0.57199      0.71634         0.68042         0.66172
64600        1   20430823   20486879     99      37  4338     -0.53348      0.70315         0.65181         0.66255
127733       1   20477578   20532540    116      24  4338      -1.4732      0.92966         0.95388         0.81453
391013       1   20480484   20536687    117      25  4338      -1.4667      0.92877         0.94163         0.82371
127731       1   20582412   20691662    408      46  4338      0.43271      0.33261          0.2085         0.50441
55450        1   20798884   20847728     96      21  4338      0.17812      0.42932         0.37843         0.43752
79594        1   20815941   20869674    141      22  4338      0.36756       0.3566         0.18188         0.64406
163933       1   20843932   20891513    152      25  4338      0.29216      0.38508         0.19957         0.67883
978          1   20880444   20955401    347      34  4338       1.3727     0.084918        0.035426         0.27081
65018        1   20924948   20988004    249      22  4338        1.619     0.052726         0.02416         0.18494
1650         1   20968260   21023037    152      31  4338       1.2415      0.10721        0.055413          0.3051
57576        1   20980475   21079317    294      48  4338     0.083182      0.46685          0.3889         0.49423
400745       1   21036225   21094133    163      27  4338     0.063972       0.4745         0.33413         0.60939
50809        1   21059170   21148808    149      22  4338      0.84302      0.19961         0.20269          0.2149
8672         1   21122785   21538381    743      42  4338      0.89286      0.18597         0.15453         0.25836
1889         1   21533740   21707034    440      52  4338     -0.72442      0.76559         0.78493         0.61352
84224        1   21731583   21821393    220      25  4338        1.038      0.14963          0.1097         0.24766
249          1   21800475   21914905    415      52  4338      0.21817      0.41365         0.49069         0.31764
5909         1   21912708   22031010    441      70  4338       1.7642     0.038846         0.19273        0.014202
84196        1   21994791   22144688    489      52  4338       1.3407     0.090012         0.40052        0.030756
401944       1   22103758   22161714    197      38  4338     -0.37115      0.64474         0.64941         0.57297
3339         1   22138737   22298750    523      56  4338     -0.54987      0.70879         0.59689           0.698
23436        1   22268418   22325847    244      27  4338      0.82775      0.20391         0.17517         0.25223
10136        1   22293149   22349035    207      26  4338        0.973      0.16528         0.12231         0.24452
998          1   22344120   22429439    213      32  4338      0.88346      0.18849         0.30881         0.13009
54361        1   22433798   22505474    239      41  4338     -0.26695      0.60525         0.58066         0.55558
9923         1   22743344   22867650    189      27  4338      0.98773      0.16164         0.11011         0.27807
2046         1   22855004   22940087    221      41  4338   -0.0086829      0.50346         0.56963         0.37692
712          1   22928118   22976175    164      24  4338       1.4141     0.078662        0.072086         0.12532
714          1   22934969   22984603    171      25  4338       1.5194     0.064337        0.050791         0.12952
713          1   22944682   22998130    157      21  4338       1.5792     0.057143         0.04121         0.11277
2048         1   23002263   23251823    442      63  4338    -0.041592      0.51659         0.44994         0.50035
646262       1   23269536   23334524    151      22  4338     -0.50988      0.69493         0.48704         0.80735
23028        1   23310937   23420184    141      17  4338     -0.16853      0.56692         0.30511         0.83393
729059       1   23327327   23377343     59      11  4338     -0.15614      0.56204         0.32893         0.80075
7798         1   23400516   23539301    286      25  4338      -1.0412       0.8511         0.73414         0.81183
3352         1   23508388   23556222    163      15  4338     -0.21494      0.58509         0.72638         0.38858
10236        1   23625953   23706143    104      18  4338      0.94429      0.17251        0.082711         0.42775
80818        1   23675941   23731357    135      22  4338      0.80708      0.20981         0.13594         0.34962
6920         1   23697555   23786269    197      28  4338      0.28999      0.38591         0.33343         0.41349
55616        1   23745056   23845750    228      22  4338     -0.71029      0.76124         0.63983         0.79225
1870         1   23822920   23892712    136      24  4338     -0.67988      0.75171         0.55032         0.91259
3399         1   23874421   23921285     89      18  4338     -0.35586      0.63903         0.55927         0.61087
6135         1   23983269   24032915    113      16  4338      0.19511      0.42265         0.50571         0.33273
6924         1   24034856   24098549     39      11  4338      0.29369       0.3845         0.67766         0.20192
57095        1   24069876   24124722     29       9  4338     -0.93586      0.82533         0.79562           0.787
11313        1   24082275   24132029     28      10  4338     -0.81878      0.79354         0.71502         0.80976
2582         1   24112089   24162294     44       7  4338     -0.26944       0.6062         0.69857         0.47007
3155         1   24118367   24200110    119      11  4338      0.39532       0.3463           0.812          0.1399
2517         1   24161567   24229859    223      16  4338      0.25798      0.39821         0.75132         0.19026
1269         1   24187005   24320549    207      18  4338      0.20218      0.41989         0.75716         0.20576
55629        1   24251301   24299952      5       3  4338     -0.80545      0.78972         0.71271         0.84563
10772        1   24282935   24341953      8       4  4338     -0.41232      0.65995         0.75529         0.53528
127294       1   24372531   24473665    336      42  4338       2.0247     0.021449         0.20694       0.0054372
58985        1   24436261   24504783    215      28  4338       2.1693      0.01503        0.084704       0.0060622
163702       1   24470647   24548765    204      33  4338       1.2065       0.1138         0.14055         0.11995
57822        1   24610812   24700972    215      36  4338      -1.6438      0.94989         0.95908         0.85742
90529        1   24673489   24776587    290      28  4338      -1.4873      0.93154         0.98903         0.79877
57185        1   24707245   24809473    257      26  4338      -2.5121        0.994         0.98765         0.97652
11123        1   24793841   24873510    190      25  4338     -0.27815      0.60955         0.58631         0.52847
400746       1   24847567   24945819    394      44  4338       1.4655     0.071398          0.1992         0.03838
10250        1   24934594   25009772     98      19  4338       3.1342   0.00086157       0.0021644       0.0039969
25932        1   25036760   25180815    170      22  4338       1.6542     0.049039         0.32964        0.017592
864          1   25216002   25326648    242      42  4338      0.42866      0.33409         0.21791         0.47622
25949        1   25538767   25594013     20      13  4338      0.58331      0.27984         0.43974         0.17596
57035        1   25558740   25609010     18      12  4338      0.59379      0.27633         0.48039         0.15749
6007         1   25563884   25666936     22      13  4338      0.58195       0.2803          0.4501         0.17241
23585        1   25629789   25698852     26       8  4338     -0.63865      0.73848         0.87271         0.49888
6006         1   25677853   25782363    111      12  4338      -1.2983      0.90291         0.97811         0.66811
55219        1   25722388   25836700    137      10  4338     -0.43529      0.66832         0.92923         0.36624
26119        1   25835071   25905377    114      18  4338       1.1178      0.13184         0.11372         0.18984
57134        1   25908959   26121258    234      30  4338       2.4946    0.0063047        0.033057       0.0049102
57190        1   26091667   26154713     82      16  4338       1.2989     0.096993         0.28665        0.044774
56181        1   26111397   26169433     97      11  4338        1.023      0.15316         0.65056        0.042691
79000        1   26148414   26220939    111      13  4338       1.0613      0.14428         0.41637         0.06338
164091       1   26177975   26237461     67      14  4338      0.46007      0.32273         0.17682         0.56156
3925         1   26200670   26268368     86      16  4338       1.3455     0.089236        0.081736         0.14677
5051         1   26276258   26361366    171      22  4338      0.32138      0.37396         0.30314         0.42709
2134         1   26313266   26372955    101      18  4338      0.52316      0.30043         0.25104         0.34845
7780         1   26354513   26408439    121      17  4338      -0.3306      0.62953         0.75021          0.4334
84676        1   26367792   26429142    135      16  4338     0.055964      0.47769         0.83074         0.23327
149420       1   26402656   26462039    124      10  4338      0.30478      0.38026         0.71513         0.17853
79927        1   26450511   26499119    106      16  4338      -2.3945      0.99168         0.98258         0.95785
51042        1   26461388   26507364    108      17  4338      -2.1426      0.98393         0.98031         0.93534
10256        1   26468981   26526375    161      23  4338      -2.5118      0.99399         0.99158          0.9708
378807       1   26482119   26539033    173      24  4338      -2.0301      0.97883         0.98427         0.93952
64793        1   26525644   26615529    315      25  4338    -0.060306      0.52404         0.69027          0.3482
83442        1   26571213   26618013    151      16  4338     0.061816      0.47535         0.92728         0.21604
91544        1   26598773   26679756    255      23  4338      -1.8541      0.96813          0.9872         0.91162
1043         1   26609411   26657014    159      17  4338      -1.5838      0.94338         0.97465         0.85436
55057        1   26638350   26715621    262      32  4338      -1.3969      0.91877         0.99031         0.79146
257101       1   26678125   26736023    218      34  4338      -1.5209      0.93586         0.96086          0.8178
79727        1   26702269   26766219    166      30  4338      -1.2743      0.89873         0.93398         0.78253
79947        1   26723773   26807797    169      27  4338      -1.0323      0.84904         0.92724         0.70861
3151         1   26763902   26813133     95      20  4338     -0.74906      0.77309         0.90883          0.5898
6195         1   26821249   26911520    197      26  4338     -0.45496      0.67543          0.8126         0.49261
8289         1   26987522   27118601    154      16  4338      -1.8164      0.96535         0.95753         0.87773
101928728    1   27008623   27057896     67       8  4338      -1.6077      0.94605         0.98048         0.82948
55650        1   27078739   27134894     55      11  4338      -1.4241      0.92279         0.91504         0.83641
